x	y	animal	dummy
0	37.18820103037595	A	dummy
1	12.61507644594602	A	dummy
2	9.520902488732215	A	dummy
3	32.45122562639739	A	dummy
4	69.36732224671339	A	dummy
5	-2.8208269831653645	A	dummy
6	58.70769757197591	A	dummy
7	8.428002625032178	A	dummy
8	-24.41453107369309	A	dummy
9	67.78158251139045	A	dummy
10	15.94330999222386	A	dummy
11	57.90485416744342	A	dummy
12	64.38183665076187	A	dummy
13	102.45525503242119	A	dummy
14	59.613567834713365	A	dummy
15	97.7536825701556	A	dummy
16	88.31455350801397	A	dummy
17	91.54020500897752	A	dummy
18	96.70465476853572	A	dummy
19	105.61346776206476	A	dummy
20	119.01548935726754	A	dummy
21	99.86636315178235	A	dummy
22	116.58799443526277	A	dummy
23	117.25451611377186	A	dummy
24	118.63797328020203	A	dummy
25	129.848585732193	A	dummy
26	134.94331940452827	A	dummy
27	142.76669418646532	A	dummy
28	199.86597488469096	A	dummy
29	213.43486893647992	A	dummy
30	192.36581753785455	A	dummy
31	234.14344003284555	A	dummy
32	162.2273258025665	A	dummy
33	215.3119364632343	A	dummy
34	165.56998398752765	A	dummy
35	180.2871425289849	A	dummy
36	191.1073707169901	A	dummy
37	167.43664506371363	A	dummy
38	217.02455617312336	A	dummy
39	208.0999269628371	A	dummy
40	217.54013498903078	A	dummy
41	294.3470569480337	A	dummy
42	235.71701054347702	A	dummy
43	238.97051216400592	A	dummy
44	247.53901209672	A	dummy
45	214.09007167139436	A	dummy
46	329.09422205226036	A	dummy
47	250.5963732487029	A	dummy
48	218.63373704715474	A	dummy
49	258.92921549722774	A	dummy
50	336.14881538199757	A	dummy
51	262.931261925234	A	dummy
52	302.9840810525756	A	dummy
53	299.65160488351046	A	dummy
54	294.229746590878	A	dummy
55	386.3383358062902	A	dummy
56	326.22021849756095	A	dummy
57	345.58164295180325	A	dummy
58	292.4317787823145	A	dummy
59	362.7310206196315	A	dummy
60	324.99298777267035	A	dummy
61	380.62004486590286	A	dummy
62	322.73457781001554	A	dummy
63	324.76300337619784	A	dummy
64	327.1353373785739	A	dummy
65	380.58041372430665	A	dummy
66	372.8729860302656	A	dummy
67	380.91932610703475	A	dummy
68	364.6570346132091	A	dummy
69	376.36356489466425	A	dummy
70	396.5151007518544	A	dummy
71	339.866724146472	A	dummy
72	374.0858606740271	A	dummy
73	421.97403591993674	A	dummy
74	430.61201482088467	A	dummy
75	376.33873332234504	A	dummy
76	437.098079469041	A	dummy
77	405.27876775205596	A	dummy
78	436.6667920911381	A	dummy
79	423.89536005734743	A	dummy
80	475.3765881424677	A	dummy
81	429.5578459943549	A	dummy
82	557.3353704271935	A	dummy
83	437.16323143308404	A	dummy
84	480.5341228511412	A	dummy
85	439.56865328201025	A	dummy
86	442.28735331729087	A	dummy
87	463.9538306272541	A	dummy
88	466.01849391925987	A	dummy
89	499.06311788943134	A	dummy
90	473.31432113650163	A	dummy
91	480.15922056206745	A	dummy
92	461.69712743251637	A	dummy
93	513.2421187491367	A	dummy
94	464.39444581606654	A	dummy
95	424.0062818491437	A	dummy
96	489.6785526305995	A	dummy
97	378.33804232957726	A	dummy
98	453.86967242602367	A	dummy
99	388.5437590777577	A	dummy
0	-44.322420516357944	B	dummy
1	-13.288896607123661	B	dummy
2	32.86165703011199	B	dummy
3	20.99802688198561	B	dummy
4	44.08364006469766	B	dummy
5	28.687479912835716	B	dummy
6	39.95172014454155	B	dummy
7	82.82863847934178	B	dummy
8	45.72056866676565	B	dummy
9	79.1074267930447	B	dummy
10	30.44754171157623	B	dummy
11	74.13313274506268	B	dummy
12	136.54918097137605	B	dummy
13	46.8813312802743	B	dummy
14	68.17920257147333	B	dummy
15	83.58574045342843	B	dummy
16	86.90171060519955	B	dummy
17	137.05328513963872	B	dummy
18	78.5528068607831	B	dummy
19	182.38271580846535	B	dummy
20	168.43003695853247	B	dummy
21	164.26245636586876	B	dummy
22	179.5086761383785	B	dummy
23	162.17534982735242	B	dummy
24	164.8536735912182	B	dummy
25	168.09067109566806	B	dummy
26	202.5008962141828	B	dummy
27	205.68705018010454	B	dummy
28	165.99927638583432	B	dummy
29	225.01866086801203	B	dummy
30	266.38168213386365	B	dummy
31	205.37365903172113	B	dummy
32	233.56978019966044	B	dummy
33	270.77822399243496	B	dummy
34	192.30436481586784	B	dummy
35	157.29085005470478	B	dummy
36	147.61648451992198	B	dummy
37	116.24737525874654	B	dummy
38	159.01802003198293	B	dummy
39	121.67018716541469	B	dummy
40	151.7035099552909	B	dummy
41	162.7245603450201	B	dummy
42	146.86626118405005	B	dummy
43	204.93706461437	B	dummy
44	172.3171246722782	B	dummy
45	103.91149146860927	B	dummy
46	135.80046315278122	B	dummy
47	171.530011218596	B	dummy
48	222.92848096937036	B	dummy
49	189.98519443118997	B	dummy
50	200.13869997240235	B	dummy
51	240.48751876241516	B	dummy
52	226.76431456699146	B	dummy
53	224.16354576179032	B	dummy
54	257.94038942675456	B	dummy
55	253.7475188994352	B	dummy
56	227.14841647173574	B	dummy
57	279.7812768201324	B	dummy
58	221.22280502602996	B	dummy
59	271.6964301088519	B	dummy
60	198.664495894131	B	dummy
61	248.52437745563535	B	dummy
62	294.3091066262242	B	dummy
63	326.2491967114459	B	dummy
64	245.44772798817277	B	dummy
65	276.92267410040574	B	dummy
66	306.74984080945103	B	dummy
67	289.342786907126	B	dummy
68	341.78024387730704	B	dummy
69	398.6714247248918	B	dummy
70	338.98022960987186	B	dummy
71	441.0822609691181	B	dummy
72	364.7256667849239	B	dummy
73	390.64593146192084	B	dummy
74	357.9952902754257	B	dummy
75	404.34184052144667	B	dummy
76	396.4418084866903	B	dummy
77	398.1870044267525	B	dummy
78	380.48522959054526	B	dummy
79	460.03859148822664	B	dummy
80	504.8799551938071	B	dummy
81	487.7144000736989	B	dummy
82	482.7699184171112	B	dummy
83	477.99571455826543	B	dummy
84	503.48853076106724	B	dummy
85	523.7593921070849	B	dummy
86	468.59243124498096	B	dummy
87	548.5552536438095	B	dummy
88	522.2264809074329	B	dummy
89	523.8685454258352	B	dummy
90	539.9662827322817	B	dummy
91	562.261148572762	B	dummy
92	571.8390464533946	B	dummy
93	510.5584486888279	B	dummy
94	562.3747062074193	B	dummy
95	636.7038997253997	B	dummy
96	605.467697921385	B	dummy
97	641.0692026841333	B	dummy
98	597.0665261895809	B	dummy
99	620.0446608778207	B	dummy
0	-0.19237752310915857	C	dummy
1	14.277105131519544	C	dummy
2	-3.761715866453641	C	dummy
3	5.826341977747852	C	dummy
4	5.1723745848264056	C	dummy
5	18.66986116058771	C	dummy
6	24.974071059830152	C	dummy
7	18.9534982788052	C	dummy
8	22.10292517725402	C	dummy
9	31.886175330197485	C	dummy
10	23.068424284920056	C	dummy
11	33.6806558334742	C	dummy
12	47.536634998624955	C	dummy
13	47.58010508338378	C	dummy
14	50.21164667389833	C	dummy
15	54.867733841620016	C	dummy
16	58.56299376440392	C	dummy
17	69.7240718500193	C	dummy
18	67.48715338167126	C	dummy
19	73.18374889792183	C	dummy
20	71.54220115824367	C	dummy
21	56.2018812048383	C	dummy
22	47.6492933476648	C	dummy
23	48.98348365311949	C	dummy
24	27.82138091978595	C	dummy
25	18.667950232951988	C	dummy
26	20.393698006851693	C	dummy
27	24.72762726616076	C	dummy
28	32.03216760071241	C	dummy
29	1.794967763167516	C	dummy
30	15.071876281234356	C	dummy
31	9.496789533869077	C	dummy
32	-21.136815932675987	C	dummy
33	-29.19010021346154	C	dummy
34	-33.38616125176144	C	dummy
35	-17.22763878241456	C	dummy
36	-47.03749530897308	C	dummy
37	-60.71146606427633	C	dummy
38	-48.93350127763854	C	dummy
39	-59.35557528386137	C	dummy
40	-66.31448409471145	C	dummy
41	-84.12165138913527	C	dummy
42	-86.04661454520183	C	dummy
43	-68.88405787140064	C	dummy
44	-104.03515485466275	C	dummy
45	-86.12949171760772	C	dummy
46	-127.57269821058617	C	dummy
47	-108.97595959713212	C	dummy
48	-120.46021283293356	C	dummy
49	-106.22639609130871	C	dummy
50	-128.17038782802885	C	dummy
51	-136.42989321353406	C	dummy
52	-149.9309393264283	C	dummy
53	-135.77584447532348	C	dummy
54	-137.63494142590253	C	dummy
55	-147.1965768827071	C	dummy
56	-164.9840661896802	C	dummy
57	-175.5438710385268	C	dummy
58	-179.41485538496084	C	dummy
59	-177.82617628378583	C	dummy
60	-169.670719007801	C	dummy
61	-167.6622199688423	C	dummy
62	-148.5242053588926	C	dummy
63	-179.36601752255814	C	dummy
64	-166.27604651147004	C	dummy
65	-132.91119952287173	C	dummy
66	-142.33791583716112	C	dummy
67	-166.4459565911759	C	dummy
68	-151.16151195989005	C	dummy
69	-138.1067259328549	C	dummy
70	-140.27819678165733	C	dummy
71	-136.7040319971404	C	dummy
72	-134.39896945940603	C	dummy
73	-128.49126891327234	C	dummy
74	-134.2132059136321	C	dummy
75	-116.13834152852056	C	dummy
76	-102.28259738769839	C	dummy
77	-115.31787109159362	C	dummy
78	-114.728698842358	C	dummy
79	-113.52679978115916	C	dummy
80	-89.87801867306884	C	dummy
81	-115.73957873352836	C	dummy
82	-94.25241309659127	C	dummy
83	-91.02381892746365	C	dummy
84	-99.20241027793375	C	dummy
85	-112.60451543219247	C	dummy
86	-99.84004197860517	C	dummy
87	-99.2724036117153	C	dummy
88	-96.50385115196038	C	dummy
89	-95.6043814332079	C	dummy
90	-79.53458242283563	C	dummy
91	-73.98168475063314	C	dummy
92	-68.89762529536539	C	dummy
93	-81.2123956986308	C	dummy
94	-59.33218340692106	C	dummy
95	-67.18162613766255	C	dummy
96	-63.60788189099962	C	dummy
97	-75.84618285167898	C	dummy
98	-64.02310032237209	C	dummy
99	-63.32235650510214	C	dummy
